Posicao;Selecao;Continente;Ano;P
1;Uruguai;SA;1930;1
2;Argentina;SA;1930;2
3;Estados Unidos;NA;1930;3
4;Iugoslávia;EU;1930;4
5;Chile;SA;1930;FG
6;Brasil;SA;1930;FG
7;França;EU;1930;FG
8;Romênia;EU;1930;FG
9;Paraguai;SA;1930;FG
10;Peru;SA;1930;FG
11;Bélgica;EU;1930;FG
12;Bolívia;SA;1930;FG
13;México;NA;1930;FG
1;Itália;EU;1934;1
2;Tchecoslováquia;EU;1934;2
3;Alemanha;EU;1934;3
4;Áustria;EU;1934;4
5;Espanha;EU;1934;QF
6;Hungria;EU;1934;QF
7;Suíça;EU;1934;QF
8;Suécia;EU;1934;QF
9;Argentina;SA;1934;OF
10;França;EU;1934;OF
11;Holanda;EU;1934;OF
12;Romênia;EU;1934;OF
13;Egito;FRICA;1934;OF
14;Brasil;SA;1934;OF
15;Bélgica;EU;1934;OF
16;Estados Unidos;NA;1934;OF
1;Itália;EU;1938;1
2;Hungria;EU;1938;2
3;Brasil;SA;1938;3
4;Suécia;EU;1938;4
5;Tchecoslováquia;EU;1938;QF
6;Suíça;EU;1938;QF
7;Cuba;NA;1938;QF
8;França;EU;1938;QF
9;Romênia;EU;1938;OF
10;Alemanha;EU;1938;OF
11;Polónia;EU;1938;OF
12;Noruega;EU;1938;OF
13;Bélgica;EU;1938;OF
14;Holanda;EU;1938;OF
15;Índias Orientais Neerlandesas;ASIA;1938;OF
1;Uruguai;SA;1950;1
2;Brasil;SA;1950;2
3;Suécia;EU;1950;3
4;Espanha;EU;1950;4
5;Iugoslávia;EU;1950;FG
6;Suíça;EU;1950;FG
7;Itália;EU;1950;FG
8;Inglaterra;EU;1950;FG
9;Chile;SA;1950;FG
10;Estados Unidos;NA;1950;FG
11;Paraguai;SA;1950;FG
12;México;NA;1950;FG
13;Bolívia;SA;1950;FG
1;Alemanha;EU;1954;1
2;Hungria;EU;1954;2
3;Áustria;EU;1954;3
4;Uruguai;SA;1954;4
5;Suíça;EU;1954;QF
6;Brasil;SA;1954;QF
7;Inglaterra;EU;1954;QF
8;Iugoslávia;EU;1954;QF
9;França;EU;1954;FG
10;Turquia;EU;1954;FG
11;Itália;EU;1954;FG
12;Bélgica;EU;1954;FG
13;México;NA;1954;FG
14;Tchecoslováquia;EU;1954;FG
15;Escócia;EU;1954;FG
16;Coreia do Sul;ASIA;1954;FG
1;Brasil;SA;1958;1
2;Suécia;EU;1958;2
3;França;EU;1958;3
4;Alemanha;EU;1958;4
5;Gales;EU;1958;QF
6;União Soviética;EU;1958;QF
7;Irlanda do Norte;EU;1958;QF
8;Iugoslávia;EU;1958;QF
9;Tchecoslováquia;EU;1958;FG
10;Hungria;EU;1958;FG
11;Inglaterra;EU;1958;FG
12;Paraguai;SA;1958;FG
13;Argentina;SA;1958;FG
14;Escócia;EU;1958;FG
15;Áustria;EU;1958;FG
16;México;NA;1958;FG
1;Brasil;SA;1962;1
2;Tchecoslováquia;EU;1962;2
3;Chile;SA;1962;3
4;Iugoslávia;EU;1962;4
5;Hungria;EU;1962;QF
6;União Soviética;EU;1962;QF
7;Alemanha;EU;1962;QF
8;Inglaterra;EU;1962;QF
9;Itália;EU;1962;FG
10;Argentina;SA;1962;FG
11;México;NA;1962;FG
12;Espanha;EU;1962;FG
13;Uruguai;SA;1962;FG
14;Colômbia;SA;1962;FG
15;Bulgária;EU;1962;FG
16;Suíça;EU;1962;FG
1;Inglaterra;EU;1966;1
2;Alemanha;EU;1966;2
3;Portugal;EU;1966;3
4;União Soviética;EU;1966;4
5;Argentina;SA;1966;QF
6;Hungria;EU;1966;QF
7;Uruguai;SA;1966;QF
8;Coreia do Norte;ASIA;1966;QF
9;Itália;EU;1966;FG
10;Espanha;EU;1966;FG
11;Brasil;SA;1966;FG
12;México;NA;1966;FG
13;Chile;SA;1966;FG
14;França;EU;1966;FG
15;Bulgária;EU;1966;FG
16;Suíça;EU;1966;FG
1;Brasil;SA;1970;1
2;Itália;EU;1970;2
3;Alemanha;EU;1970;3
4;Uruguai;SA;1970;4
5;União Soviética;EU;1970;QF
6;México;NA;1970;QF
7;Peru;SA;1970;QF
8;Inglaterra;EU;1970;QF
